ATF	1.0
31	41
"Checksum_ImageFile=9af1db4c0f1930d680dfd2d4245ca79b"
"Checksum_ResultFile=f22e1e59b8203700516803ce3223a004"
"Type=Mapix Results 2"
"DateTime=2021/04/15 19:23:11"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785, 670"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h22m59_5µm_785nmGain000.tif, L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA01161_FastGreen\Joseph_2021-04-06_14h19m00_5µm.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h22m59_5µm_785nmGain000.jpg"
"RatioFormulations=W2/W1 (670/785)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4615, 2705"
"JpegBrightness=30"
"JpegContrast=79"
"JpegBalance=28"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0, 5.0"
"PMTGain=0, 10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F670 Median - B670"	"F670 Mean - B670"	"F670 Total Intensity"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"	"Ratio of Medians (670/785)"	"Ratio of Means (670/785)"	"Median of Ratios (670/785)"	"Mean of Ratios (670/785)"	"Ratios SD (670/785)"	"Sum of Medians (670/785)"	"Sum of Means (670/785)"	"Log Ratio (670/785)"	"Rgn Ratio (670/785)"	"Rgn R2 (670/785)"
1	5	3	6022.00	3507.00	130.50	0	Spot (Block1, Row3, Column5)	44233.00	44187.29	29928808.00	72.87	72.00	8.07	0.01	0.11	79.00	80.90	79.00	18.31	0.01	0.23	0.00	0.00	0.00	-7.00	-6.13	33302.00	-0.44	75.95	76.50	-6319.00	-7209.42	0.00	0.00	0.00	44226.00	44181.16	100000.00	0.27	0.07
1	6	3	6318.00	3505.00	138.80	0	Spot (Block1, Row3, Column6)	39712.00	35562.57	30093552.00	146.35	80.00	140.63	0.26	0.96	80.00	107.65	80.00	91.31	0.13	0.85	22.00	15.00	0.00	0.00	66.35	76688.00	0.42	185.27	78.00	100000.00	535.98	88.67	89.84	0.02	39712.00	35628.92	100000.00	0.51	0.26
1	7	3	6619.00	3514.00	137.80	0	Spot (Block1, Row3, Column7)	43778.00	42666.70	32856328.00	72.99	75.00	12.03	0.01	0.16	78.00	98.19	78.00	80.52	0.10	0.82	0.00	0.00	0.00	-3.00	-5.01	37224.00	-0.31	74.20	75.00	-14592.67	-8513.31	0.00	0.00	0.00	43775.00	42661.68	100000.00	0.63	0.39
1	8	3	6914.00	3503.00	138.35	0	Spot (Block1, Row3, Column8)	44673.00	40453.50	31761652.00	76.29	72.00	15.36	0.03	0.20	79.00	80.74	79.00	13.04	0.01	0.16	14.00	7.00	0.00	-7.00	-2.71	39517.00	-0.34	84.36	77.00	-6381.86	-14914.52	0.00	0.00	0.00	44666.00	40450.79	100000.00	0.60	0.35
1	1	4	4823.00	3804.00	139.15	0	Spot (Block1, Row4, Column1)	45417.00	44883.97	34061296.00	74.47	74.00	12.44	0.00	0.17	76.00	78.58	76.00	13.41	0.01	0.17	9.00	2.00	0.00	-2.00	-1.53	39021.00	-0.31	83.48	78.00	-22708.50	-29289.22	0.00	0.00	0.00	45415.00	44882.44	100000.00	0.51	0.26
1	2	4	5115.00	3806.00	150.10	0	Spot (Block1, Row4, Column2)	26554.50	25806.41	28783640.00	76.63	76.00	12.23	0.00	0.16	75.00	77.98	75.00	13.84	0.02	0.18	16.00	1.00	0.00	1.00	1.63	47360.00	-0.10	73.68	74.00	26554.50	15790.42	0.00	0.00	0.00	26555.50	25808.04	14.70	0.99	0.98
1	3	4	5416.00	3803.00	151.90	0	Spot (Block1, Row4, Column3)	44055.00	43660.05	41103744.00	92.55	82.00	31.63	0.05	0.34	75.00	80.20	75.00	24.41	0.03	0.30	19.00	11.00	0.00	7.00	17.55	58397.00	0.51	103.10	79.00	6293.57	2488.21	0.00	0.00	0.00	44062.00	43677.60	12.62	0.15	0.02
1	4	4	5701.00	3805.00	146.95	0	Spot (Block1, Row4, Column4)	44194.00	44110.28	38420228.00	77.02	78.00	12.19	0.01	0.16	76.00	80.10	76.00	23.66	0.02	0.30	0.00	0.00	0.00	2.00	1.02	45213.00	-0.13	69.94	71.00	22097.00	43082.77	0.00	0.00	0.00	44196.00	44111.30	14.43	0.27	0.08
1	5	4	6031.00	3788.00	227.75	0	Spot (Block1, Row4, Column5)	2637.50	3419.77	35516040.00	78.73	76.00	12.91	0.02	0.16	77.00	82.90	77.00	28.07	0.03	0.34	3.00	0.00	0.00	-1.00	1.73	117224.00	-0.15	81.69	78.00	-2637.50	1980.57	0.00	0.00	0.00	2636.50	3421.50	100000.00	0.81	0.65
1	6	4	6327.00	3804.00	181.40	0	Spot (Block1, Row4, Column6)	44746.00	43206.13	59068152.00	95.87	85.00	32.86	0.05	0.34	75.00	78.44	75.00	20.49	0.02	0.26	23.00	14.00	0.00	10.00	20.87	88491.00	0.85	102.11	87.00	4474.60	2069.93	0.00	0.00	0.00	44756.00	43227.01	12.13	0.34	0.12
