antigen	block	intercept	slope	antigen_number	display_order	product_code	lot_number	slide_name	sample_plate	immunoglobulin	gain_normalised_intensity
S2	5	88.95313761	16.36285368	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	907.0958216
S2	6	47.01060813	8.959252145	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	494.9732154
S2	7	21.78823175	5.612648876	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	302.4206756
S2	8	18.56421539	5.33737208	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	285.4328194
S2	9	193.6306636	46.3280437	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	2510.032849
S2	10	21.74220364	7.805355218	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	412.0099646
S2	11	11.59040296	3.392994046	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	181.2401053
S2	12	33.23490443	7.941276341	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	430.2987215
S2	13	223.6432319	42.66360521	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	2356.823492
S2	14	398.3612774	219.4034323	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	11368.53289
S2	15	293.0453213	116.6116214	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	6123.62639
S2	16	97.39282407	16.86067971	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	940.4268098
S2	17	320.5384939	81.49377969	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	4395.227478
S2	18	78.13898562	16.24718513	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	890.4982423
S2	19	35.76961073	7.112819422	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	391.4105818
S2	20	52.5044832	10.60429978	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	582.7194722
S2	21	27.32606121	5.846952595	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	319.673691
S2	22	171.9084331	48.41118152	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	2592.467509
S2	23	102.7512591	22.93864996	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	1249.683757
